Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Store,Country
1001,2026-01-01,CUST-0446,Male,59,Jewelry,2,82575,165150,Mumbai Flagship,India
1002,2026-01-01,CUST-0358,Male,57,Jewelry,1,33032,33032,Mumbai Flagship,India
1003,2026-01-01,CUST-0212,Female,59,Watches,1,128466,128466,Mumbai Flagship,India
1004,2026-01-01,CUST-0181,Female,43,Jewelry,2,328776,657552,Mumbai Flagship,India
1005,2026-01-01,CUST-0152,Male,46,Jewelry,2,80459,160918,Mumbai Flagship,India
1006,2026-01-01,CUST-0513,Male,51,Watches,1,169789,169789,Delhi Chanakya,India
1007,2026-01-01,CUST-0382,Female,62,Leather Goods,1,102648,102648,Delhi Chanakya,India
1008,2026-01-01,CUST-0460,Male,24,Leather Goods,1,80644,80644,Delhi Chanakya,India
1009,2026-01-01,CUST-0294,Female,51,Fragrances,2,17537,35074,Dubai Mall,UAE
1010,2026-01-01,CUST-0207,Female,65,Leather Goods,1,35656,35656,Dubai Mall,UAE
1011,2026-01-01,CUST-0473,Male,32,Leather Goods,1,53836,53836,Dubai Mall,UAE
1012,2026-01-01,CUST-0452,Male,65,Jewelry,2,95328,190656,Dubai Mall,UAE
1013,2026-01-01,CUST-0520,Male,42,Jewelry,1,272030,272030,Abu Dhabi,UAE
1014,2026-01-01,CUST-0208,Female,47,Fragrances,2,12091,24182,London Harrods,UK
1015,2026-01-01,CUST-0171,Male,57,Fragrances,1,13274,13274,London Harrods,UK
1016,2026-01-01,CUST-0398,Female,45,Leather Goods,1,66770,66770,London Harrods,UK
1017,2026-01-01,CUST-0146,Male,29,Jewelry,1,476498,476498,London Harrods,UK
1018,2026-01-01,CUST-0405,Male,46,Jewelry,1,65919,65919,Milan Duomo,Italy
1019,2026-01-01,CUST-0597,Male,65,Leather Goods,1,113409,113409,Milan Duomo,Italy
1020,2026-01-01,CUST-0236,Female,29,Couture,1,187770,187770,Milan Duomo,Italy
1021,2026-01-01,CUST-0469,Female,54,Jewelry,1,65448,65448,Milan Duomo,Italy
1022,2026-01-02,CUST-0359,Male,31,Watches,2,124272,248544,Mumbai Flagship,India
1023,2026-01-02,CUST-0572,Male,60,Jewelry,3,66324,198972,Mumbai Flagship,India
1024,2026-01-02,CUST-0549,Female,37,Jewelry,2,29579,59158,Mumbai Flagship,India
1025,2026-01-02,CUST-0143,Female,26,Watches,2,178261,356522,Mumbai Flagship,India
1026,2026-01-02,CUST-0437,Female,57,Fragrances,1,11587,11587,Mumbai Flagship,India
1027,2026-01-02,CUST-0593,Male,56,Watches,1,108840,108840,Mumbai Flagship,India
1028,2026-01-02,CUST-0304,Female,50,Fragrances,2,14073,28146,Delhi Chanakya,India
1029,2026-01-02,CUST-0132,Female,23,Fragrances,1,10468,10468,Delhi Chanakya,India
1030,2026-01-02,CUST-0136,Male,36,Leather Goods,1,27141,27141,Delhi Chanakya,India
1031,2026-01-02,CUST-0348,Male,56,Jewelry,1,169878,169878,Dubai Mall,UAE
1032,2026-01-02,CUST-0342,Male,52,Watches,1,197842,197842,Dubai Mall,UAE
1033,2026-01-02,CUST-0320,Female,49,Couture,1,91267,91267,Dubai Mall,UAE
